SRR11836760	NC_003045.1	31028	0	0
SRR11836760	NC_001859.1	7414	1206	0
SRR11836760	NC_063268.1	134896	0	0
SRR11836760	NC_027199.1	20261	0	0
SRR11836760	NC_002161.1	15456	38	0
SRR11836760	NC_038303.1	7245	0	0
SRR11836760	NC_010354.1	7525	14569	0
SRR11836760	NC_038272.1	15140	0	0
SRR11836760	NC_001461.1	12573	0	0
SRR11836760	NC_039237.1	12513	0	0
SRR11836760	NC_012812.1	12337	0	0
SRR11836760	NC_026953.1	2319	1	0
SRR11836760	NC_026956.1	2262	1	0
SRR11836760	NC_026948.1	2133	1	0
SRR11836760	NC_026952.1	1995	1	0
SRR11836760	NC_026949.1	1659	0	0
SRR11836760	NC_026950.1	1164	0	0
SRR11836760	NC_026951.1	760	0	0
SRR11836760	NC_030402.1	5224	0	0
SRR11836760	NC_034245.1	7253	0	0
SRR11836760	NC_038898.1	5105	0	0
SRR11836760	Unmapped	0	0	381646
SRR11836761	NC_003045.1	31028	2	0
SRR11836761	NC_001859.1	7414	4	0
SRR11836761	NC_063268.1	134896	0	0
SRR11836761	NC_027199.1	20261	0	0
SRR11836761	NC_002161.1	15456	40	0
SRR11836761	NC_038303.1	7245	0	0
SRR11836761	NC_010354.1	7525	38	0
SRR11836761	NC_038272.1	15140	0	0
SRR11836761	NC_001461.1	12573	0	0
SRR11836761	NC_039237.1	12513	0	0
SRR11836761	NC_012812.1	12337	0	0
SRR11836761	NC_026953.1	2319	0	0
SRR11836761	NC_026956.1	2262	3	0
SRR11836761	NC_026948.1	2133	0	0
SRR11836761	NC_026952.1	1995	0	0
SRR11836761	NC_026949.1	1659	0	0
SRR11836761	NC_026950.1	1164	1	0
SRR11836761	NC_026951.1	760	0	0
SRR11836761	NC_030402.1	5224	0	0
SRR11836761	NC_034245.1	7253	0	0
SRR11836761	NC_038898.1	5105	0	0
SRR11836761	Unmapped	0	0	379181
SRR11836762	NC_003045.1	31028	0	0
SRR11836762	NC_001859.1	7414	3	0
SRR11836762	NC_063268.1	134896	0	0
SRR11836762	NC_027199.1	20261	0	0
SRR11836762	NC_002161.1	15456	58	0
SRR11836762	NC_038303.1	7245	1	0
SRR11836762	NC_010354.1	7525	55	0
SRR11836762	NC_038272.1	15140	0	0
SRR11836762	NC_001461.1	12573	0	0
SRR11836762	NC_039237.1	12513	0	0
SRR11836762	NC_012812.1	12337	0	0
SRR11836762	NC_026953.1	2319	1	0
SRR11836762	NC_026956.1	2262	3	0
SRR11836762	NC_026948.1	2133	1	0
SRR11836762	NC_026952.1	1995	0	0
SRR11836762	NC_026949.1	1659	1	0
SRR11836762	NC_026950.1	1164	0	0
SRR11836762	NC_026951.1	760	0	0
SRR11836762	NC_030402.1	5224	0	0
SRR11836762	NC_034245.1	7253	1	0
SRR11836762	NC_038898.1	5105	0	0
SRR11836762	Unmapped	0	0	452253
SRR11836763	NC_003045.1	31028	0	0
SRR11836763	NC_001859.1	7414	4	0
SRR11836763	NC_063268.1	134896	0	0
SRR11836763	NC_027199.1	20261	0	0
SRR11836763	NC_002161.1	15456	18613	0
SRR11836763	NC_038303.1	7245	0	0
SRR11836763	NC_010354.1	7525	59	0
SRR11836763	NC_038272.1	15140	15	0
SRR11836763	NC_001461.1	12573	0	0
SRR11836763	NC_039237.1	12513	0	0
SRR11836763	NC_012812.1	12337	0	0
SRR11836763	NC_026953.1	2319	156	0
SRR11836763	NC_026956.1	2262	318	0
SRR11836763	NC_026948.1	2133	135	0
SRR11836763	NC_026952.1	1995	23	0
SRR11836763	NC_026949.1	1659	142	0
SRR11836763	NC_026950.1	1164	117	0
SRR11836763	NC_026951.1	760	0	0
SRR11836763	NC_030402.1	5224	0	0
SRR11836763	NC_034245.1	7253	0	0
SRR11836763	NC_038898.1	5105	0	0
SRR11836763	Unmapped	0	0	306767
SRR11836764	NC_003045.1	31028	0	0
SRR11836764	NC_001859.1	7414	4	0
SRR11836764	NC_063268.1	134896	0	0
SRR11836764	NC_027199.1	20261	0	0
SRR11836764	NC_002161.1	15456	77	0
SRR11836764	NC_038303.1	7245	1	0
SRR11836764	NC_010354.1	7525	34	0
SRR11836764	NC_038272.1	15140	0	0
SRR11836764	NC_001461.1	12573	0	0
SRR11836764	NC_039237.1	12513	0	0
SRR11836764	NC_012812.1	12337	0	0
SRR11836764	NC_026953.1	2319	0	0
SRR11836764	NC_026956.1	2262	1	0
SRR11836764	NC_026948.1	2133	1	0
SRR11836764	NC_026952.1	1995	0	0
SRR11836764	NC_026949.1	1659	1	0
SRR11836764	NC_026950.1	1164	0	0
SRR11836764	NC_026951.1	760	0	0
SRR11836764	NC_030402.1	5224	0	0
SRR11836764	NC_034245.1	7253	1	0
SRR11836764	NC_038898.1	5105	0	0
SRR11836764	Unmapped	0	0	284494
SRR11836765	NC_003045.1	31028	0	0
